id,value
화천기계	,	51920
삼영화학	,	51850
대양금속	,	51612
삼화전기	,	51125
세우글로벌	,	50817
신한	,	50494
이아이디	,	50180
콤텍시스템	,	50166
KODEX 은행	,	50023
대동전자	,	49095
하이스틸	,	48899
팀스	,	48400
덕양산업	,	48196
진양산업	,	47645
남양유업우	,	47499
삼일제약	,	47080
까뮤이앤씨	,	46958
코아스	,	46824
KB Monthly Best 11 ETN	,	46525
부산산업	,	45989
이스타코	,	45851
대호에이엘	,	45451
부산주공	,	45370
세하	,	45353
TIGER 미국MSCI리츠(합성 H)	,	45255
마이다스 200커버드콜	,	45203
KODEX 삼성그룹밸류	,	44578
신한 WTI원유 선물 ETN(H)	,	44205
TIGER 유로스탁스50(합성 H)	,	44137
엔케이물산	,	44025
KODEX 중국본토 A50	,	43950
아비스타	,	43625
삼아알미늄	,	43340
TRUE 코스피 커버드풋 ETN	,	43300
바다로19호	,	43244
TIGER 단기선진하이일드(합성 H)	,	43037
메디플란트	,	43004
성안	,	42814
전방	,	42336
한솔로지스틱스	,	42265
지코	,	42034
한솔PNS	,	41806
한성기업	,	41797
유한양행우	,	41097
에쓰씨엔지니어링	,	40962
나라케이아이씨	,	40625
한국특수형강	,	40547
TIGER 로우볼	,	40234
넥센타이어1우B	,	39325
한국전자홀딩스	,	38940
성문전자	,	38820
신한 USD K200 선물 바이셀 ETN	,	38800
BYC우	,	38339
ARIRANG 코스피50	,	38220
티에이치엔	,	38160
동원수산	,	37998
유안타증권우	,	37381
TIGER 레버리지	,	37325
KODEX 200 중소형	,	36941
진양화학	,	36840
KBSTAR 중국본토대형주CSI100	,	36504
코오롱우	,	36382
TIGER 국채3년	,	36076
삼화전자	,	35613
모두투어리츠	,	35377
미래에셋 전기전자 Core5 ETN	,	35300
TREX 200	,	34903
QV 하드웨어 TOP5 ETN	,	34670
일정실업	,	34620
신풍제지	,	34574
KINDEX 삼성그룹섹터가중	,	34344
한국주강	,	34324
경인전자	,	33772
청호컴넷	,	33422
호텔신라우	,	33007
세기상사	,	32567
태원물산	,	32414
트러스제7호	,	32254
와이비로드	,	32254
KODEX China H 레버리지(H)	,	31983
KGP	,	31657
TIGER 코스닥150 레버리지	,	31407
씨아이테크	,	31306
신한 레버리지 다우존스지수 선물 ETN(H)	,	31020
삼성 레버리지 China A50 선물 ETN(H)	,	30935
KB KQ Monthly Best 11 ETN	,	30625
체시스	,	30240
하이골드12호	,	30133
TIGER 경기방어채권혼합	,	30060
KODEX 국고채3년	,	29967
TIGER 일본TOPIX(합성 H)	,	29865
세방우	,	29846
파워 고배당저변동성	,	29635
흥국 S&P코리아로우볼	,	29246
QV 2차전지 테마 ETN	,	29040
신화실업	,	28853
하이골드3호	,	28827
KBSTAR V&S셀렉트밸류	,	28738
하나니켈1호	,	28104
신한 인버스 WTI원유 선물 ETN(H)	,	27960
삼성 화학 테마주 ETN	,	27910
TRUE 위안화 중국5년국채 ETN	,	27840
KB 우량주 Monthly Best 11 ETN	,	27780
미래에셋 레버리지 S&P500 ETN(H)	,	27530
KINDEX 중국본토CSI300레버리지(합성)	,	27160
하이트론	,	27045
신한 인버스 브렌트원유 선물 ETN(H)	,	27010
마이티 코스피고배당	,	26438
QV 대체에너지 테마 ETN	,	26180
QV OLED 테마 ETN	,	25840
미래에셋 에너지화학 Core5 ETN	,	25650
TRUE 목표변동성20 코스피선물 ETN	,	25550
TIGER 베타플러스	,	25461
KODEX 미국달러선물레버리지	,	25422
SK증권우	,	25314
미래에셋 원자재 선물 ETN(H)	,	25275
미래에셋 일본 대형주 ETN(H)	,	25230
미래에셋 일본 중형주 ETN(H)	,	25170
미래에셋 미국 항공우주 ETN(H)	,	25120
